Block,Line,vial,start,males,females,total,propsurv,propmale,propfem,propexpsurvmale,propexpsurvfem,allele
B2,S1,3,50,13,24,37,0.74,0.35135135,0.64864865,0.52,0.96,S
B2,S1,4,50,13,17,30,0.6,0.43333333,0.56666667,0.52,0.68,S
B2,S1,5,50,12,19,31,0.62,0.38709677,0.61290323,0.48,0.76,S
B2,S1,6,50,12,11,23,0.46,0.52173913,0.47826087,0.48,0.44,S
B2,S1,7,50,10,10,20,0.4,0.5,0.5,0.4,0.4,S
B2,S1,8,50,13,14,27,0.54,0.48148148,0.51851852,0.52,0.56,S
B2,S1,9,50,11,15,26,0.52,0.42307692,0.57692308,0.44,0.6,S
B2,S1,10,50,20,16,36,0.72,0.55555556,0.44444444,0.8,0.64,S
B2,S1,11,50,14,12,26,0.52,0.53846154,0.46153846,0.56,0.48,S
B2,S1,12,50,15,19,34,0.68,0.44117647,0.55882353,0.6,0.76,S
B2,S1,13,50,18,14,32,0.64,0.5625,0.4375,0.72,0.56,S
B2,S1,14,50,11,25,36,0.72,0.30555556,0.69444444,0.44,1,S
B2,S1,15,50,15,17,32,0.64,0.46875,0.53125,0.6,0.68,S
B2,S1,16,50,19,16,35,0.7,0.54285714,0.45714286,0.76,0.64,S
B2,S1,17,50,10,20,30,0.6,0.33333333,0.66666667,0.4,0.8,S
B2,S1,18,50,15,11,26,0.52,0.57692308,0.42307692,0.6,0.44,S
B2,S2,1,50,13,21,34,0.68,0.38235294,0.61764706,0.52,0.84,S
B2,S2,2,50,19,17,36,0.72,0.52777778,0.47222222,0.76,0.68,S
B2,S2,3,50,21,17,38,0.76,0.55263158,0.44736842,0.84,0.68,S
B2,S2,4,50,14,16,30,0.6,0.46666667,0.53333333,0.56,0.64,S
B2,S2,5,50,14,15,29,0.58,0.48275862,0.51724138,0.56,0.6,S
B2,S2,6,50,14,15,29,0.58,0.48275862,0.51724138,0.56,0.6,S
B2,S2,7,50,18,24,42,0.84,0.42857143,0.57142857,0.72,0.96,S
B2,S2,8,50,13,18,31,0.62,0.41935484,0.58064516,0.52,0.72,S
B2,S2,9,50,21,19,40,0.8,0.525,0.475,0.84,0.76,S
B2,S2,10,50,18,22,40,0.8,0.45,0.55,0.72,0.88,S
B2,S2,11,50,16,18,34,0.68,0.47058824,0.52941177,0.64,0.72,S
B2,S2,12,50,11,16,27,0.54,0.40740741,0.59259259,0.44,0.64,S
B2,S2,13,50,16,14,30,0.6,0.53333333,0.46666667,0.64,0.56,S
B2,S2,14,50,12,18,30,0.6,0.4,0.6,0.48,0.72,S
B2,S2,15,50,13,22,35,0.7,0.37142857,0.62857143,0.52,0.88,S
B2,S2,16,50,13,19,32,0.64,0.40625,0.59375,0.52,0.76,S
B2,S2,17,50,14,12,26,0.52,0.53846154,0.46153846,0.56,0.48,S
B2,S2,18,50,17,16,33,0.66,0.51515152,0.48484849,0.68,0.64,S
B2,S3,1,50,4,4,8,0.16,0.5,0.5,0.16,0.16,S
B2,S3,2,50,2,3,5,0.1,0.4,0.6,0.08,0.12,S
B2,S3,3,50,1,2,3,0.06,0.33333333,0.66666667,0.04,0.08,S
B2,S3,4,50,2,1,3,0.06,0.66666667,0.33333333,0.08,0.04,S
B2,S3,5,50,4,6,10,0.2,0.4,0.6,0.16,0.24,S
B2,S3,6,50,3,4,7,0.14,0.42857143,0.57142857,0.12,0.16,S
B2,S3,7,50,3,2,5,0.1,0.6,0.4,0.12,0.08,S
B2,S3,8,50,1,7,8,0.16,0.125,0.875,0.04,0.28,S
B2,S3,9,50,6,5,11,0.22,0.54545455,0.45454546,0.24,0.2,S
B2,S3,10,50,7,4,11,0.22,0.63636364,0.36363636,0.28,0.16,S
B2,S3,11,50,5,8,13,0.26,0.38461539,0.61538462,0.2,0.32,S
B2,S3,12,50,2,3,5,0.1,0.4,0.6,0.08,0.12,S
B2,S3,13,50,1,4,5,0.1,0.2,0.8,0.04,0.16,S
B2,S3,14,50,2,4,6,0.12,0.33333333,0.66666667,0.08,0.16,S
B2,S3,15,50,7,6,13,0.26,0.53846154,0.46153846,0.28,0.24,S
B2,S3,16,50,7,8,15,0.3,0.46666667,0.53333333,0.28,0.32,S
B2,S3,17,50,3,7,10,0.2,0.3,0.7,0.12,0.28,S
B2,S3,18,50,7,5,12,0.24,0.58333333,0.41666667,0.28,0.2,S
