/Users/michaeljardine/.densitycount/models/pv20_1527600777_firsttestmodel_,Filename: ,Frame number: ,Predicted count: ,Corrected count: ,CI 
Tue May 29 15:00:20 2018,/Users/michaeljardine/Desktop/Agar photos/Round 1/M/M-097.png,1,33.90932682,38.88450874,0.487749274
Tue May 29 15:00:20 2018,/Users/michaeljardine/Desktop/Agar photos/Round 1/M/M-098.png,1,24.47183598,27.78989062,0.52651623
Tue May 29 15:00:20 2018,/Users/michaeljardine/Desktop/Agar photos/Round 1/M/M-099.png,1,30.8583571,35.29781981,0.495980557
Tue May 29 15:00:20 2018,/Users/michaeljardine/Desktop/Agar photos/Round 1/M/M-100.png,1,39.23509861,45.14543181,0.484075304
Tue May 29 15:00:20 2018,/Users/michaeljardine/Desktop/Agar photos/Round 1/M/M-101.png,1,7.891713579,8.298467582,0.669662617
Tue May 29 15:00:20 2018,/Users/michaeljardine/Desktop/Agar photos/Round 1/M/M-102.png,1,18.06843788,20.26212103,0.572641421
Tue May 29 15:00:20 2018,/Users/michaeljardine/Desktop/Agar photos/Round 1/M/M-103.png,1,14.7695966,16.38403681,0.601345013
Tue May 29 15:00:20 2018,/Users/michaeljardine/Desktop/Agar photos/Round 1/M/M-104.png,1,17.82418413,19.9749788,0.574662137
Tue May 29 15:00:20 2018,/Users/michaeljardine/Desktop/Agar photos/Round 1/M/M-105.png,1,18.8159239,21.14085798,0.56656761
Tue May 29 15:00:20 2018,/Users/michaeljardine/Desktop/Agar photos/Round 1/M/M-106.png,1,11.51585119,12.55896685,0.632377651
Tue May 29 15:00:20 2018,/Users/michaeljardine/Desktop/Agar photos/Round 1/M/M-107.png,1,18.72814302,21.03766367,0.567272171
Tue May 29 15:00:20 2018,/Users/michaeljardine/Desktop/Agar photos/Round 1/M/M-108.png,1,16.22262744,18.09220507,0.588334961
Tue May 29 15:00:20 2018,/Users/michaeljardine/Desktop/Agar photos/Round 1/M/M-109.png,1,16.91693811,18.90842963,0.582318836
Tue May 29 15:00:20 2018,/Users/michaeljardine/Desktop/Agar photos/Round 1/M/M-110.png,1,16.59630438,18.53149588,0.585080533
Tue May 29 15:00:20 2018,/Users/michaeljardine/Desktop/Agar photos/Round 1/M/M-111.png,1,11.13444408,12.11058853,0.636174263
Tue May 29 15:00:20 2018,/Users/michaeljardine/Desktop/Agar photos/Round 1/M/M-112.png,1,25.64142497,29.16484753,0.519669644
Tue May 29 15:00:20 2018,/Users/michaeljardine/Desktop/Agar photos/Round 1/M/M-113.png,1,19.95217122,22.47661875,0.557662684
Tue May 29 15:00:20 2018,/Users/michaeljardine/Desktop/Agar photos/Round 1/M/M-114.png,1,24.71077508,28.07078499,0.525074634
Tue May 29 15:00:20 2018,/Users/michaeljardine/Desktop/Agar photos/Round 1/M/M-115.png,1,13.81786731,15.26519355,0.610160372
Tue May 29 15:00:20 2018,/Users/michaeljardine/Desktop/Agar photos/Round 1/M/M-116.png,1,26.5292163,30.20852597,0.514832055
Tue May 29 15:00:20 2018,/Users/michaeljardine/Desktop/Agar photos/Round 1/M/M-117.png,1,21.08488849,23.80822965,0.549195944
Tue May 29 15:00:20 2018,/Users/michaeljardine/Desktop/Agar photos/Round 1/M/M-118.png,1,8.026531471,8.456958124,0.668229522
Tue May 29 15:00:20 2018,/Users/michaeljardine/Desktop/Agar photos/Round 1/M/M-119.png,1,18.31762212,20.55505948,0.570598056
Tue May 29 15:00:20 2018,/Users/michaeljardine/Desktop/Agar photos/Round 1/M/M-120.png,1,10.61174195,11.49610524,0.641428091
Tue May 29 15:00:20 2018,/Users/michaeljardine/Desktop/Agar photos/Round 1/M/M-121.png,1,23.10632493,26.18460973,0.535165156
Tue May 29 15:00:20 2018,/Users/michaeljardine/Desktop/Agar photos/Round 1/M/M-122.png,1,15.56050452,17.31382012,0.594194416
Tue May 29 15:00:20 2018,/Users/michaeljardine/Desktop/Agar photos/Round 1/M/M-123.png,1,16.53449594,18.4588345,0.585616187
Tue May 29 15:00:20 2018,/Users/michaeljardine/Desktop/Agar photos/Round 1/M/M-124.png,1,29.08159366,33.2090748,0.502736022
Tue May 29 15:00:20 2018,/Users/michaeljardine/Desktop/Agar photos/Round 1/M/M-125.png,1,16.06364365,17.90530535,0.589731139
Tue May 29 15:00:20 2018,/Users/michaeljardine/Desktop/Agar photos/Round 1/M/M-126.png,1,11.4611704,12.49468466,0.632920012
Tue May 29 15:00:20 2018,/Users/michaeljardine/Desktop/Agar photos/Round 1/M/M-127.png,1,15.7935215,17.5877525,0.592118952
Tue May 29 15:00:20 2018,/Users/michaeljardine/Desktop/Agar photos/Round 1/M/M-128.png,1,15.63621493,17.4028245,0.593518489
Tue May 29 15:00:20 2018,/Users/michaeljardine/Desktop/Agar photos/Round 1/M/M-129.png,1,15.70980185,17.48933254,0.592862976
Tue May 29 15:00:20 2018,/Users/michaeljardine/Desktop/Agar photos/Round 1/M/M-130.png,1,16.27280884,18.15119782,0.587895699
Tue May 29 15:00:20 2018,/Users/michaeljardine/Desktop/Agar photos/Round 1/M/M-131.png,1,13.87414727,15.3313557,0.60963284
Tue May 29 15:00:20 2018,/Users/michaeljardine/Desktop/Agar photos/Round 1/M/M-132.png,1,14.00950444,15.49048021,0.608367262
Tue May 29 15:00:20 2018,/Users/michaeljardine/Desktop/Agar photos/Round 1/M/M-133.png,1,18.9300513,21.27502499,0.565655095
Tue May 29 15:00:20 2018,/Users/michaeljardine/Desktop/Agar photos/Round 1/M/M-134.png,1,12.08111067,13.22348014,0.626809717
Tue May 29 15:00:20 2018,/Users/michaeljardine/Desktop/Agar photos/Round 1/M/M-135.png,1,53.40014167,61.79771218,0.538711769
Tue May 29 15:00:20 2018,/Users/michaeljardine/Desktop/Agar photos/Round 1/M/M-136.png,1,16.41584313,18.31934747,0.586647424
Tue May 29 15:00:20 2018,/Users/michaeljardine/Desktop/Agar photos/Round 1/M/M-137.png,1,18.78207654,21.10106737,0.566839003
Tue May 29 15:00:20 2018,/Users/michaeljardine/Desktop/Agar photos/Round 1/M/M-138.png,1,9.35477949,10.01843297,0.654294317
Tue May 29 15:00:20 2018,/Users/michaeljardine/Desktop/Agar photos/Round 1/M/M-139.png,1,18.72906305,21.03874525,0.567264774
Tue May 29 15:00:20 2018,/Users/michaeljardine/Desktop/Agar photos/Round 1/M/M-140.png,1,19.92121897,22.44023161,0.557899884
Tue May 29 15:00:20 2018,/Users/michaeljardine/Desktop/Agar photos/Round 1/M/M-141.png,1,20.07880214,22.62548477,0.556695451
Tue May 29 15:00:20 2018,/Users/michaeljardine/Desktop/Agar photos/Round 1/M/M-142.png,1,14.76228603,16.37544259,0.60141186
Tue May 29 15:00:20 2018,/Users/michaeljardine/Desktop/Agar photos/Round 1/M/M-143.png,1,7.473462624,7.80677602,0.674129808
Tue May 29 15:00:20 2018,/Users/michaeljardine/Desktop/Agar photos/Round 1/M/M-144.png,1,12.15680402,13.31246446,0.626069536
Tue May 29 15:00:20 2018,/Users/michaeljardine/Desktop/Agar photos/Round 1/M/M-145.png,1,47.7732677,55.18281644,0.506592088
Tue May 29 15:00:20 2018,/Users/michaeljardine/Desktop/Agar photos/Round 1/M/M-146.png,1,25.28587417,28.74686562,0.521694802
Tue May 29 15:00:20 2018,/Users/michaeljardine/Desktop/Agar photos/Round 1/M/M-147.png,1,32.19346916,36.86736395,0.491844295
Tue May 29 15:00:20 2018,/Users/michaeljardine/Desktop/Agar photos/Round 1/M/M-148.png,1,22.08101646,24.97926755,0.542104164
Tue May 29 15:00:20 2018,/Users/michaeljardine/Desktop/Agar photos/Round 1/M/M-149.png,1,35.16103353,40.3560024,0.485646604
Tue May 29 15:00:20 2018,/Users/michaeljardine/Desktop/Agar photos/Round 1/M/M-150.png,1,38.15989754,43.88143638,0.483701867
Tue May 29 15:00:20 2018,/Users/michaeljardine/Desktop/Agar photos/Round 1/M/M-151.png,1,33.75141865,38.6988735,0.488067892
Tue May 29 15:00:20 2018,/Users/michaeljardine/Desktop/Agar photos/Round 1/M/M-152.png,1,40.67588141,46.8392014,0.485460179
Tue May 29 15:00:20 2018,/Users/michaeljardine/Desktop/Agar photos/Round 1/M/M-153.png,1,21.07417331,23.79563299,0.549274057
Tue May 29 15:00:20 2018,/Users/michaeljardine/Desktop/Agar photos/Round 1/M/M-154.png,1,33.2822657,38.14734207,0.489084522
Tue May 29 15:00:20 2018,/Users/michaeljardine/Desktop/Agar photos/Round 1/M/M-155.png,1,19.61292628,22.07780586,0.560279078
Tue May 29 15:00:20 2018,/Users/michaeljardine/Desktop/Agar photos/Round 1/M/M-156.png,1,10.11997727,10.91799169,0.646423351
Tue May 29 15:00:20 2018,/Users/michaeljardine/Desktop/Agar photos/Round 1/M/M-157.png,1,30.6504581,35.05341586,0.496698016
