Frame number: ,Predicted count: ,Corrected count: ,CI ,photo number,line,genotype,allele,age
1,15.25314084,15.24663415,0.43015602,186,16,D,M,four
1,18.91220409,18.89341157,0.430966306,187,19,D,F,four
1,24.68874383,24.65055573,0.432247145,188,19,D,F,four
1,22.37310693,22.34269392,0.431733455,189,19,D,F,four
1,5.747638583,5.773048011,0.428054876,190,19,D,F,four
1,16.93688016,16.92472007,0.430528777,191,19,D,F,four
1,34.19629917,34.12618806,0.43435961,192,19,D,F,four
1,26.94881474,26.90303812,0.432748818,193,19,D,F,four
1,16.44520004,16.43469084,0.430419908,194,19,D,F,four
1,8.559514317,8.575482463,0.42867585,195,24,D,F,four
1,17.46401659,17.45008657,0.430645514,196,24,D,F,four
1,3.426672793,3.459875203,0.427542681,197,24,D,F,four
1,11.00874046,11.01648498,0.429217133,198,24,D,F,four
1,12.21306633,12.21676715,0.429483425,199,24,D,F,four
1,24.85001795,24.81128835,0.432282933,200,24,D,F,four
1,26.27785261,26.23432884,0.432599851,201,24,D,F,four
1,13.82115505,13.81945647,0.429839133,202,95,D,F,four
