Predicted count: ,Corrected count: ,CI ,line,genotype,allele,block
31.75465932,30.67357264,0.55028108,L3,D,M,2
33.12560332,32.00074994,0.55370865,L3,D,M,2
19.46725496,18.77843752,0.519833963,L3,D,M,2
10.00946607,9.622583805,0.496771779,L3,D,M,2
11.41503036,10.98327616,0.500176557,L3,D,M,2
21.62633749,20.86859242,0.52514644,L3,D,M,2
12.44895098,11.98418938,0.502686288,L3,D,M,2
13.44245475,12.94597604,0.505102001,L3,D,M,2
10.45999388,10.05872874,0.497862221,L3,D,M,2
41.37836166,39.9900431,0.574458815,L3,D,M,2
31.44606402,30.37482909,0.549510343,L3,D,M,2
21.990987,21.22160068,0.526045321,L3,D,M,2
21.47193267,20.7191169,0.524765966,L3,D,M,2
18.01092405,17.36859924,0.516260258,L3,D,M,2
15.74247538,15.17256966,0.510709584,L3,D,M,2
2.732857282,2.578277111,0.479282043,L3,D,M,2
5.670920644,5.422544271,0.486315455,L3,D,M,2
35.16022642,33.97041872,0.558806012,L3,D,M,2
26.10258185,25.20193491,0.536212671,L3,D,M,2
28.21312712,27.24510209,0.5414539,L3,D,M,2
18.43974802,17.78373322,0.517311735,S1,D,F,2
32.83267188,31.71717019,0.552975793,S1,D,F,2
9.541607246,9.16966114,0.495640293,S1,D,F,2
33.09889986,31.97489898,0.553641832,S1,D,F,2
14.09669697,13.5793319,0.506694957,S1,D,F,2
3.057985109,2.893025395,0.480058407,S1,D,F,2
25.25545905,24.38185609,0.534113132,S1,D,F,2
21.30526885,20.55777373,0.524355379,S1,D,F,2
13.26193077,12.7712152,0.50466276,S1,D,F,2
24.80176508,23.94264607,0.532989678,S1,D,F,2
26.8074184,25.88426991,0.537961393,S2,D,F,2
26.54757191,25.63271889,0.537316513,S2,D,F,2
5.316496844,5.079435273,0.485464915,S2,D,F,2
10.14681737,9.755550232,0.497104129,S2,D,F,2
14.52878781,13.99762846,0.507747948,S2,D,F,2
40.0672778,38.72081494,0.571149399,S2,D,F,2
23.68007339,22.85676383,0.530215121,S2,D,F,2
6.59143358,6.313670291,0.488527108,S2,D,F,2
13.58778618,13.08666783,0.505455708,S2,D,F,2
7.078950763,6.785623732,0.489699954,S2,D,F,2
21.09539321,20.35459827,0.523838479,S2,D,F,2
30.52470383,29.48288286,0.547210951,S2,D,F,2
12.43441181,11.97011437,0.502650966,S2,D,F,2
27.95048369,26.99084341,0.540800866,S2,D,F,2
9.63335343,9.258478373,0.495862103,S2,D,F,2
31.63314876,30.55594125,0.549977565,S2,D,F,2
