"","FSS.5.100","FSS.4.100","FSS.3.100","FSS.2.100","FSS.1.100"
"459",0.67,0.47,0.23,0.19,0.08
"460",0.43,0.4,0.21,0.22,0.06
"461",0.52,0.38,0.34,0.21,0.12
"462",0.5,0.37,0.21,0.33,0.21
"463",0.33,0.37,0.21,0.18,0.14
"464",0.38,0.42,0.31,0.19,0.06
"465",0.56,0.28,0.34,0.17,0.03
"466",0.47,0.43,0.25,0.16,0.08
"467",0.55,0.44,0.44,0.18,0.05
"468",0.49,0.36,0.29,0.25,0.07
"469",0.6,0.4,0.39,0.33,0.09
"470",0.55,0.36,0.37,0.19,0.14
"471",0.53,0.41,0.26,0.25,0.02
"472",0.45,0.34,0.26,0.25,0.15
"473",0.43,0.49,0.17,0.2,0.08
"474",0.58,0.38,0.46,0.17,0.11
"475",0.62,0.38,0.36,0.28,0.08
"476",0.48,0.34,0.26,0.22,0.11
"477",0.61,0.42,0.38,0.18,0.13
"478",0.39,0.32,0.33,0.13,0.09
"479",0.53,0.42,0.41,0.15,0.11
"480",0.52,0.39,0.35,0.2,0.11
"481",0.42,0.39,0.2,0.25,0.11
"482",0.42,0.49,0.26,0.15,0.14
"483",0.51,0.28,0.26,0.16,0.16
"484",0.57,0.29,0.23,0.23,0.17
"485",0.45,0.37,0.28,0.16,0.08
"486",0.51,0.38,0.38,0.22,0.12
"487",0.53,0.39,0.3,0.17,0.11
"488",0.47,0.37,0.48,0.11,0.11
"489",0.44,0.26,0.23,0.18,0.05
"490",0.57,0.4,0.32,0.17,0.15
"491",0.58,0.44,0.4,0.22,0.1
"492",0.54,0.29,0.32,0.16,0.13
"493",0.53,0.42,0.22,0.21,0.15
"494",0.52,0.42,0.26,0.26,0.05
"495",0.5,0.38,0.33,0.21,0.17
"496",0.53,0.41,0.41,0.19,0.13
"497",0.39,0.35,0.23,0.18,0.07
"498",0.58,0.38,0.26,0.18,0.21
"499",0.5,0.37,0.28,0.31,0.09
"500",0.48,0.34,0.35,0.21,0.06
"501",0.57,0.36,0.24,0.19,0.1
"502",0.45,0.36,0.3,0.16,0.07
"503",0.6,0.45,0.35,0.13,0.04
"504",0.53,0.33,0.31,0.19,0.14
"505",0.4,0.56,0.31,0.07,0.19
"506",0.54,0.45,0.26,0.15,0.05
"507",0.52,0.43,0.27,0.24,0.03
"508",0.49,0.41,0.37,0.27,0.16
"509",0.53,0.58,0.4,0.23,0.15
"510",0.49,0.35,0.2,0.14,0.09
"511",0.55,0.33,0.27,0.24,0.17
"512",0.43,0.43,0.31,0.3,0.08
"513",0.52,0.21,0.3,0.18,0.1
"514",0.51,0.41,0.37,0.17,0.1
"515",0.59,0.5,0.32,0.27,0.16
"516",0.48,0.34,0.18,0.11,0.13
"517",0.57,0.33,0.31,0.17,0.06
"518",0.51,0.33,0.32,0.24,0.11
"519",0.43,0.35,0.28,0.13,0.13
"520",0.52,0.41,0.18,0.18,0.07
"521",0.52,0.41,0.32,0.21,0.07
"522",0.53,0.46,0.26,0.22,0.1
"523",0.48,0.45,0.36,0.29,0.06
"524",0.48,0.45,0.39,0.24,0.09
"525",0.57,0.43,0.22,0.21,0.05
"526",0.56,0.36,0.34,0.13,0.05
"527",0.52,0.39,0.38,0.23,0.08
"528",0.36,0.49,0.36,0.22,0.08
"529",0.59,0.42,0.26,0.18,0.15
"530",0.69,0.46,0.25,0.16,0.08
"531",0.43,0.54,0.28,0.13,0.14
"532",0.53,0.38,0.28,0.2,0.12
"533",0.63,0.35,0.23,0.16,0.11
"534",0.5,0.37,0.26,0.17,0.05
"535",0.57,0.35,0.24,0.24,0.09
"536",0.56,0.38,0.4,0.27,0.09
"537",0.47,0.36,0.28,0.22,0.08
"538",0.53,0.37,0.26,0.18,0.1
"539",0.48,0.4,0.28,0.35,0.05
"540",0.59,0.44,0.29,0.21,0.09
"541",0.36,0.34,0.32,0.08,0.13
"542",0.64,0.39,0.28,0.23,0.11
"543",0.59,0.4,0.27,0.21,0.06
"544",0.57,0.2,0.41,0.16,0.05
"545",0.52,0.35,0.31,0.15,0.1
"546",0.55,0.44,0.26,0.18,0.19
"547",0.57,0.48,0.26,0.2,0.13
"548",0.46,0.37,0.29,0.19,0.13
"549",0.59,0.31,0.39,0.18,0.13
"550",0.43,0.42,0.29,0.27,0.06
"551",0.49,0.45,0.39,0.25,0.19
"552",0.51,0.34,0.32,0.25,0.05
"553",0.4,0.4,0.33,0.17,0.06
"554",0.46,0.29,0.31,0.28,0.22
"555",0.58,0.42,0.31,0.32,0.09
"556",0.52,0.44,0.22,0.31,0.11
"557",0.56,0.47,0.24,0.21,0.14
"558",0.4,0.27,0.34,0.2,0.13
"559",0.44,0.49,0.22,0.2,0.04
"560",0.48,0.45,0.34,0.2,0.07
"561",0.38,0.45,0.33,0.27,0.06
"562",0.45,0.42,0.54,0.19,0.16
"563",0.53,0.44,0.3,0.2,0.2
"564",0.44,0.41,0.42,0.18,0.1
"565",0.48,0.34,0.27,0.22,0.14
"566",0.51,0.36,0.25,0.19,0.15
"567",0.59,0.48,0.33,0.3,0.05
"568",0.58,0.27,0.23,0.17,0.04
"569",0.53,0.34,0.26,0.18,0.11
"570",0.5,0.34,0.22,0.25,0.07
"571",0.52,0.37,0.31,0.27,0.07
"572",0.52,0.5,0.2,0.2,0.1
"573",0.55,0.46,0.31,0.11,0.08
"574",0.49,0.42,0.31,0.25,0.11
"575",0.47,0.36,0.29,0.23,0.08
"576",0.51,0.51,0.3,0.22,0.12
"577",0.48,0.35,0.29,0.2,0.13
"578",0.52,0.37,0.25,0.21,0.05
"579",0.65,0.35,0.23,0.17,0.08
"580",0.57,0.46,0.33,0.15,0.1
"581",0.55,0.27,0.38,0.26,0.09
"582",0.53,0.43,0.26,0.19,0.21
"583",0.41,0.38,0.31,0.26,0.08
"584",0.49,0.45,0.33,0.1,0.1
"585",0.4,0.4,0.25,0.18,0.2
"586",0.6,0.45,0.24,0.23,0.08
"587",0.38,0.46,0.27,0.22,0.07
"588",0.55,0.31,0.24,0.18,0.13
"589",0.42,0.39,0.31,0.24,0.08
"590",0.57,0.38,0.29,0.16,0.06
"591",0.53,0.53,0.27,0.11,0.22
"592",0.58,0.47,0.24,0.08,0.1
"593",0.42,0.4,0.22,0.26,0.16
"594",0.75,0.48,0.35,0.24,0.18
"595",0.61,0.41,0.27,0.13,0.05
"596",0.48,0.39,0.36,0.12,0.05
"597",0.47,0.3,0.35,0.2,0.04
"598",0.52,0.33,0.25,0.18,0.09
"599",0.43,0.36,0.35,0.22,0.19
"600",0.5,0.48,0.2,0.2,0.02
"601",0.49,0.48,0.46,0.17,0.08
