"day"	"event"	"line"	"censor"	"sex"	"chro"	"allele"
"438"	38	2	"L1"	0	"M"	"D"	"L"
"439"	38	2	"L1"	0	"M"	"D"	"L"
"440"	40	2	"L1"	0	"M"	"D"	"L"
"441"	40	2	"L1"	0	"M"	"D"	"L"
"442"	45	4	"L1"	0	"M"	"D"	"L"
"443"	45	4	"L1"	0	"M"	"D"	"L"
"444"	45	4	"L1"	0	"M"	"D"	"L"
"445"	45	4	"L1"	0	"M"	"D"	"L"
"446"	47	4	"L1"	0	"M"	"D"	"L"
"447"	47	4	"L1"	0	"M"	"D"	"L"
"448"	47	4	"L1"	0	"M"	"D"	"L"
"449"	47	4	"L1"	0	"M"	"D"	"L"
"450"	49	3	"L1"	0	"M"	"D"	"L"
"451"	49	3	"L1"	0	"M"	"D"	"L"
"452"	49	3	"L1"	0	"M"	"D"	"L"
"453"	52	8	"L1"	0	"M"	"D"	"L"
"454"	52	8	"L1"	0	"M"	"D"	"L"
"455"	52	8	"L1"	0	"M"	"D"	"L"
"456"	52	8	"L1"	0	"M"	"D"	"L"
"457"	52	8	"L1"	0	"M"	"D"	"L"
"458"	52	8	"L1"	0	"M"	"D"	"L"
"459"	52	8	"L1"	0	"M"	"D"	"L"
"460"	52	8	"L1"	0	"M"	"D"	"L"
"461"	54	5	"L1"	0	"M"	"D"	"L"
"462"	54	5	"L1"	0	"M"	"D"	"L"
"463"	54	5	"L1"	0	"M"	"D"	"L"
"464"	54	5	"L1"	0	"M"	"D"	"L"
"465"	54	5	"L1"	0	"M"	"D"	"L"
"466"	59	8	"L1"	0	"M"	"D"	"L"
"467"	59	8	"L1"	0	"M"	"D"	"L"
"468"	59	8	"L1"	0	"M"	"D"	"L"
"469"	59	8	"L1"	0	"M"	"D"	"L"
"470"	59	8	"L1"	0	"M"	"D"	"L"
"471"	59	8	"L1"	0	"M"	"D"	"L"
"472"	59	8	"L1"	0	"M"	"D"	"L"
"473"	59	8	"L1"	0	"M"	"D"	"L"
"474"	61	2	"L1"	0	"M"	"D"	"L"
"475"	61	2	"L1"	0	"M"	"D"	"L"
"476"	63	4	"L1"	0	"M"	"D"	"L"
"477"	63	4	"L1"	0	"M"	"D"	"L"
"478"	63	4	"L1"	0	"M"	"D"	"L"
"479"	63	4	"L1"	0	"M"	"D"	"L"
"480"	66	4	"L1"	0	"M"	"D"	"L"
"481"	66	4	"L1"	0	"M"	"D"	"L"
"482"	66	4	"L1"	0	"M"	"D"	"L"
"483"	66	4	"L1"	0	"M"	"D"	"L"
"484"	68	1	"L1"	0	"M"	"D"	"L"
"485"	73	2	"L1"	0	"M"	"D"	"L"
"486"	73	2	"L1"	0	"M"	"D"	"L"
"487"	77	1	"L1"	0	"M"	"D"	"L"
"488"	80	2	"L1"	0	"M"	"D"	"L"
"489"	80	2	"L1"	0	"M"	"D"	"L"
"490"	84	1	"L1"	0	"M"	"D"	"L"
"491"	5	3	"L1"	0	"M"	"D"	"L"
"492"	5	3	"L1"	0	"M"	"D"	"L"
"493"	5	3	"L1"	0	"M"	"D"	"L"
"494"	7	2	"L1"	0	"M"	"D"	"L"
"495"	7	2	"L1"	0	"M"	"D"	"L"
"496"	14	1	"L1"	0	"M"	"D"	"L"
"497"	19	1	"L1"	0	"M"	"D"	"L"
"498"	26	1	"L1"	0	"M"	"D"	"L"
"499"	31	1	"L1"	0	"M"	"D"	"L"
"500"	10	1	"L2"	0	"M"	"D"	"L"
"501"	12	2	"L2"	0	"M"	"D"	"L"
"502"	12	2	"L2"	0	"M"	"D"	"L"
"503"	14	2	"L2"	0	"M"	"D"	"L"
"504"	14	2	"L2"	0	"M"	"D"	"L"
"505"	17	3	"L2"	0	"M"	"D"	"L"
"506"	17	3	"L2"	0	"M"	"D"	"L"
"507"	17	3	"L2"	0	"M"	"D"	"L"
"508"	24	1	"L2"	0	"M"	"D"	"L"
"509"	26	1	"L2"	0	"M"	"D"	"L"
"510"	28	1	"L2"	0	"M"	"D"	"L"
"511"	31	1	"L2"	0	"M"	"D"	"L"
"512"	38	3	"L2"	0	"M"	"D"	"L"
"513"	38	3	"L2"	0	"M"	"D"	"L"
